feature_id,location,,feature_id,Age_Group,,feature_id,profession,,id,name,description,detailed_explanation,category,age_group,profession,location,,Profession,Count
1,Nationwide,,1,All Age Groups,,1,"Daily Wage Workers, Low-Income Individuals",,1,Zero-Poverty,"Comprehensive measures to eradicate poverty through social welfare, employment, and financial inclusion programs.","{affects"": ""- Low-income households receive financial aid and job opportunities\n- Entrepreneurs and MSMEs benefit from microfinance support\n- Social welfare schemes improve standard of living"""," ""explanation"": ""- Implement large-scale employment generation programs\n- Expand social security and direct benefit transfers\n- Strengthen financial inclusion and microfinance initiatives""}""",All Age Groups,"Daily Wage Workers, Low-Income Individuals",Nationwide,,"Daily Wage Workers, Low-Income Individuals",1
2,Nationwide,,2,Children,,2,"Students, Teachers",,2,Hundred Per Cent Good Quality School Education,"Ensuring universal access to high-quality education through curriculum reform, teacher training, and infrastructure development.","{affects"": ""- Students receive improved education quality\n- Teachers benefit from professional development programs\n- Parents see better academic outcomes for children"""," ""explanation"": ""- Upgrade school infrastructure and digital learning facilities\n- Implement teacher training programs for quality education\n- Introduce skill-based learning and holistic curriculum""}""",Children,"Students, Teachers",Nationwide,,"Students, Teachers",2
3,Nationwide,,3,All Age Groups,,3,General Public,,3,"Access to High-Quality, Affordable, and Comprehensive Healthcare","Initiatives to enhance healthcare accessibility and affordability, including the establishment of Day Care Cancer Centres and exemption of customs duty on life-saving cancer drugs.","{affects"": ""- Improved access to quality cancer care in underserved regions\n- Reduced financial burden on patients requiring life-saving medications"""," ""explanation"": ""- Establish Day Care Cancer Centres in all district hospitals over the next three years\n- Exempt 36 life-saving cancer drugs from customs duty""}""",All Age Groups,General Public,Nationwide,,General Public,14
4,Nationwide,,4,Adults,,4,General Public,,4,Hundred Per Cent Skilled Labour with Meaningful Employment,Initiatives to achieve full skilled employment through intensive skill-development programs and employment generation across various sectors.,"{affects"": ""- Youth gain relevant skills for employment\n- Increased job opportunities in diverse sectors\n- Economic growth through a skilled workforce"""," ""explanation"": ""- Organize intensive skill-development programs for youth\n- Create employment opportunities in sectors like tourism",Adults,General Public,Nationwide,,Female Workforce,1
5,Nationwide,,5,Adults,,5,Female Workforce,,5,Seventy Per Cent Women in Economic Activities,"Initiatives to increase women's participation in the workforce from the current 40.3% to 70%, including enhanced gender-focused budget allocations and support for women entrepreneurs.","{affects"": ""- Women gain increased access to financial resources and entrepreneurial support\n- Enhanced skill development programs lead to higher employability of women\n- Overall economic growth through increased female labor force participation"""," ""explanation"": ""- Increase Gender Budget allocation to 8.86% of the total budget\n- Provide term loans up to INR 2 crore for first-time women entrepreneurs over the next five years\n- Support skill development and employment opportunities for women""}""",Adults,Female Workforce,Nationwide,,"Agribusiness Entrepreneurs, Exporters, Farmers",1
6,Nationwide,,6,Adults,,6,"Agribusiness Entrepreneurs, Exporters, Farmers",,6,"Farmers Making Our Country the Food Basket of the World""""","Initiatives to enhance agricultural productivity and export potential, positioning India as a leading global food supplier.","{affects"": ""- Farmers benefit from improved resources and market access\n- Strengthened agricultural supply chains\n- Enhanced global competitiveness of Indian agriculture"""," ""explanation"": ""- Increase budget allocation for agriculture by over 15% to $20 billion\n- Develop high-yielding seed varieties and improve storage infrastructure\n- Aim to boost farm exports to $80 billion by 2030""}""",Adults,"Agribusiness Entrepreneurs, Exporters, Farmers",Nationwide,,"Economists, General Public",2
7,Nationwide,,7,All Age Groups,,7,"Economists, General Public",,7,Union Budget 2025-2026 Financial Estimates,"The total receipts, excluding borrowings, are estimated at ₹34.96 lakh crore, while the total expenditure is projected at ₹50.65 lakh crore for the fiscal year 2025-2026.","{affects"": ""- Reflects the government's fiscal policy and budgetary allocations for various sectors"""," ""explanation"": ""- Total receipts (excluding borrowings): ₹34.96 lakh crore\n- Total expenditure: ₹50.65 lakh crore""}""",All Age Groups,"Economists, General Public",Nationwide,,"Farmers, Rural Communities",2
8,Nationwide,,8,All Age Groups,,8,"Economists, General Public",,8,Union Budget 2025-2026 Net Tax Receipts,The net tax receipts for the fiscal year 2025-2026 are estimated at ₹28.37 lakh crore.,"{affects"": ""- Indicates the government's revenue from taxes after transfers to states"""," ""explanation"": ""- Net tax receipts: ₹28.37 lakh crore""}""",All Age Groups,"Economists, General Public",Nationwide,,"Farmers, General Public",1
9,Nationwide,,9,All Age Groups,,9,General Public,,9,Union Budget 2025-2026 Fiscal Deficit Estimate,The fiscal deficit for the fiscal year 2025-2026 is estimated to be 4.4% of GDP.,"{affects"": ""- A high fiscal deficit can lead to inflation", affecting the cost of living for citizens.\n- It influences interest rates,All Age Groups,General Public,Nationwide,,"Agribusiness Entrepreneurs, Farmers",2
10,Nationwide,,10,All Age Groups,,10,General Public,,10,Union Budget 2025-2026 Gross Market Borrowings,The government plans to borrow ₹14.82 lakh crore from the market in the fiscal year 2025-2026 to finance its expenditure.,"{affects"": ""- Investors and financial institutions have opportunities to invest in government securities.\n- Proper management of borrowings can lead to stable interest rates", affecting loans and savings for the general public.\n- Ensures funding for infrastructure projects,All Age Groups,General Public,Nationwide,,"Agricultural Scientists, Farmers",1
11,Nationwide,,11,All Age Groups,,11,General Public,,11,Union Budget 2025-2026 Capital Expenditure Allocation,"The government has allocated ₹11.21 lakh crore for capital expenditure in the fiscal year 2025-2026, constituting 3.1% of the GDP.","{affects"": ""- Citizens may experience better infrastructure", leading to improved quality of life.\n- Job opportunities may increase due to new projects and developments.\n- Businesses could benefit from enhanced logistics and facilities,All Age Groups,General Public,Nationwide,,Fishermen,1
12,Nationwide,,12,All Age Groups,,12,"Farmers, Rural Communities",,12,Prime Minister Dhan-Dhaanya Krishi Yojana - Developing Agri Districts Programme,A new initiative targeting 100 districts with low agricultural productivity to enhance farming practices and support 1.7 crore farmers.,"{affects"": ""- Farmers in the selected districts will receive better resources and support.\n- Increased crop yields and diversified farming can lead to higher incomes.\n- Improved storage and irrigation facilities will reduce post-harvest losses and enhance crop quality."""," ""explanation"": ""- The programme aims to improve agricultural productivity in 100 identified districts.\n- It focuses on adopting crop diversification and sustainable farming practices.\n- Enhances post-harvest storage at the panchayat and block levels.\n- Improves irrigation facilities and provides access to both long-term and short-term credit for farmers.""}""",All Age Groups,"Farmers, Rural Communities",Nationwide,,"Exporters, Farmers, Textile Manufacturers",1
13,Nationwide,,13,All Age Groups,,13,"Farmers, Rural Communities",,13,Building Rural Prosperity and Resilience,"A comprehensive initiative aimed at enhancing agricultural productivity, promoting sustainable farming practices, and improving rural infrastructure to boost the rural economy and livelihoods.","{affects"": ""- Farmers will benefit from increased productivity and income. \n- Rural communities will experience improved infrastructure and services. \n- The overall economy may see growth due to enhanced rural demand and reduced urban-rural disparities."""," ""explanation"": ""- The initiative focuses on: \n  1. Enhancing agricultural productivity through modern techniques and high-yield seeds. \n  2. Promoting crop diversification and sustainable agriculture to ensure environmental balance. \n  3. Improving post-harvest infrastructure",All Age Groups,"Farmers, Rural Communities",Nationwide,,"Dairy Farmers, Farmers, Fishermen",1
14,Nationwide,,14,Adults,,14,"Farmers, General Public",,14,Mission for Aatmanirbharta in Pulses,"A six-year mission aimed at achieving self-reliance in pulses production, focusing on key varieties such as Tur, Urad, and Masoor.","{affects"": ""- Farmers will benefit from assured procurement and remunerative prices", leading to increased income stability.\n- Consumers can expect a more stable supply of pulses,Adults,"Farmers, General Public",Nationwide,,"Agribusiness Entrepreneurs, Farmers, Industrial Workers",1
15,Nationwide,,15,Adults,,15,"Agribusiness Entrepreneurs, Farmers",,15,Comprehensive Programme for Vegetables & Fruits,"A nationwide initiative to enhance the production, supply chain efficiency, processing capabilities, and ensure fair prices for farmers engaged in cultivating vegetables and fruits.","{affects"": ""- Farmers: Access to better infrastructure", training,Adults,"Agribusiness Entrepreneurs, Farmers",Nationwide,,"Entrepreneurs, Small Business Owners",4
16,Bihar,,16,Adults,,16,"Agribusiness Entrepreneurs, Farmers",,16,Makhana Board in Bihar,"Establishment of a dedicated board to enhance the production, processing, value addition, and marketing of makhana in Bihar.","{affects"": ""- Makhana farmers in Bihar will receive support to enhance their production and income.\n- The local economy is expected to benefit from increased makhana-related activities.\n- Consumers may have access to better quality and a wider variety of makhana products."""," ""explanation"": ""- Makhana",Adults,"Agribusiness Entrepreneurs, Farmers",Bihar,,"Exporters, Manufacturers",2
17,Nationwide,,17,Adults,,17,"Agricultural Scientists, Farmers",,17,National Mission on High Yielding Seeds,"A mission aimed at strengthening the research ecosystem and promoting the development and distribution of high-yielding, pest-resistant, and climate-resilient seed varieties.","{affects"": ""- Farmers will have access to better seed varieties"," leading to increased crop yields and income. \n- The agricultural sector will benefit from improved resilience against pests and climate challenges. \n- Consumers may experience more stable food prices due to enhanced crop production.""",Adults,"Agricultural Scientists, Farmers",Nationwide,,"Entrepreneurs, Farmers, Students",1
18,Nationwide,,18,Adults,,18,Fishermen,,18,Fisheries Development Initiative,"A comprehensive program aimed at unlocking the untapped potential of India's marine sector, enhancing seafood exports, and supporting the livelihoods of those involved in fisheries.","{affects"": ""- Fishermen and fish farmers will benefit from improved infrastructure", access to modern technology,Adults,Fishermen,Nationwide,,Manufacturers,1
19,Nationwide,,19,Adults,,19,"Exporters, Farmers, Textile Manufacturers",,19,Mission for Cotton Productivity,"A 5-year mission to enhance cotton productivity and sustainability, focusing on promoting extra-long staple cotton varieties and strengthening the textile value chain.","{affects"": ""- Farmers gain access to better seeds and improved cultivation techniques.\n- Textile manufacturers benefit from higher-quality cotton.\n- Exporters and the economy gain from a strengthened textile sector."""," ""explanation"": ""- A long-term initiative to boost cotton yield and improve sustainability.\n- Focus on extra-long staple cotton to enhance quality.\n- Support through scientific advancements and modern farming techniques.\n- Aligns with the 5F principle: Farm to Fibre to Factory to Fashion to Foreign.""}""",Adults,"Exporters, Farmers, Textile Manufacturers",Nationwide,,"General Public, Students, Workforce",1
20,Nationwide,,20,Adults,,20,"Dairy Farmers, Farmers, Fishermen",,20,Enhanced Credit through Kisan Credit Card (KCC),"The government has increased the loan limit under the Modified Interest Subvention Scheme from ₹3 lakh to ₹5 lakh for loans taken through the KCC, benefiting farmers, fishermen, and dairy farmers.","{affects"": ""- Farmers", fishermen,Adults,"Dairy Farmers, Farmers, Fishermen",Nationwide,,"Children, Community Workers, Women",1
21,Assam,,21,Adults,,21,"Agribusiness Entrepreneurs, Farmers, Industrial Workers",,21,Urea Plant in Assam,"Establishment of a urea plant with an annual capacity of 12.7 lakh metric tons at Namrup, Assam, to enhance domestic urea production and achieve self-reliance.","{affects"": ""- Farmers in Assam and neighboring regions will benefit from improved access to urea", leading to enhanced crop yields.\n- The initiative is expected to boost the local economy through job creation and infrastructure development.\n- Nationally,Adults,"Agribusiness Entrepreneurs, Farmers, Industrial Workers",Assam,,"Educators, Students",2
22,Nationwide,,22,Adults,,22,"Entrepreneurs, Small Business Owners",,22,Revision in Classification Criteria for MSMEs,"Enhancement of investment and turnover limits for MSME classification to 2.5 and 2 times respectively, aiming to boost efficiency, technological advancement, and capital access.","{affects"": ""- MSMEs will find it easier to expand and innovate due to relaxed classification thresholds.\n- Enhanced access to credit and government schemes tailored for MSMEs.\n- Potential for increased employment opportunities and economic growth in the MSME sector."""," ""explanation"": ""- The government has revised the criteria for classifying Micro",Adults,"Entrepreneurs, Small Business Owners",Nationwide,,"Educators, Healthcare Workers, Students",1
23,Nationwide,,23,Adults,,23,"Entrepreneurs, Small Business Owners",,23,Credit Cards for Micro Enterprises,"Introduction of customized Credit Cards with a ₹5 lakh limit for micro enterprises registered on the Udyam portal, aiming to enhance financial accessibility and operational efficiency.","{affects"": ""- Micro enterprise owners will benefit from improved access to formal credit", enabling them to manage operational expenses more effectively.\n- The initiative is expected to reduce reliance on informal lending sources,Adults,"Entrepreneurs, Small Business Owners",Nationwide,,"Authors, General Public, Publishers",1
24,Nationwide,,24,Adults,,24,"Entrepreneurs, Small Business Owners",,24,Fund of Funds for Startups (FFS),"The government has established the Fund of Funds for Startups (FFS) with a corpus of ₹10,000 crore to provide financial support to startups through Alternative Investment Funds (AIFs).","{affects"": ""- Startups across various sectors receive financial support", enabling them to scale operations and innovate.\n- The startup ecosystem benefits from increased investment,Adults,"Entrepreneurs, Small Business Owners",Nationwide,,"Industry Professionals, Job Seekers, Workers",1
25,Nationwide,,25,Adults,,25,"Entrepreneurs, Small Business Owners",,25,Scheme for First-time Entrepreneurs,"A new scheme to provide term loans up to ₹2 crore over the next 5 years to 5 lakh first-time entrepreneurs, including women and individuals from Scheduled Castes and Scheduled Tribes.","{affects"": ""- Aspiring entrepreneurs will have improved access to financial resources"," enabling them to start and scale their businesses.\n- The initiative is expected to stimulate economic development by encouraging the establishment of new enterprises across various sectors.""",Adults,"Entrepreneurs, Small Business Owners",Nationwide,,"Researchers, Students",1
26,Nationwide,,26,Adults,,26,"Exporters, Manufacturers",,26,Focus Product Scheme for Footwear & Leather Sectors,"A scheme aimed at enhancing productivity, quality, and competitiveness in India's footwear and leather sectors by supporting design capacity, component manufacturing, and machinery for both leather and non-leather products.","{affects"": ""- Entrepreneurs and businesses in the footwear and leather sectors will benefit from increased support for design and manufacturing capabilities.\n- The initiative is expected to create approximately 2.2 million jobs", providing significant employment opportunities.\n- With a projected turnover of ₹4 lakh crore and exports exceeding ₹1.1 lakh crore,Adults,"Exporters, Manufacturers",Nationwide,,"Healthcare Workers, Students",1
27,Nationwide,,27,Adults,,27,"Exporters, Manufacturers",,27,Measures for the Toy Sector,"A scheme aimed at making India a global hub for toy manufacturing by developing clusters, enhancing skills, and creating a robust manufacturing ecosystem for high-quality, innovative, and sustainable toys.","{affects"": ""- Entrepreneurs and businesses in the toy manufacturing sector will benefit from increased support and infrastructure development.\n- The initiative is expected to generate significant employment opportunities within the industry.\n- Consumers will have access to a diverse range of high-quality and innovative toys"," reflecting Indian culture and values.""",Adults,"Exporters, Manufacturers",Nationwide,,Low-Income Individuals,1
28,Nationwide,,28,All Age Groups,,28,"Entrepreneurs, Farmers, Students",,28,Support for Food Processing,"Establishment of a National Institute of Food Technology, Entrepreneurship, and Management in Bihar to enhance food processing capabilities, promote entrepreneurship, and provide advanced training and research opportunities in the sector.","{affects"": ""- Entrepreneurs and businesses in the food processing industry will benefit from access to advanced training and research facilities.\n- The initiative is expected to generate employment opportunities", contributing to economic growth in the region.\n- Farmers may experience increased demand for their produce,All Age Groups,"Entrepreneurs, Farmers, Students",Nationwide,,"General Public, Investors",3
29,Nationwide,,29,Adults,,29,Manufacturers,,29,"Manufacturing Mission - Furthering Make in India""""","A National Manufacturing Mission aimed at providing policy support, execution roadmaps, and a governance framework to enhance the manufacturing sector across small, medium, and large industries, thereby promoting the Make in India"" initiative.""","{affects"": ""- Entrepreneurs and businesses across various manufacturing sectors will benefit from streamlined policies and support mechanisms.\n- The initiative is expected to generate employment opportunities", contributing to economic growth and development.\n- Consumers may experience increased availability of domestically produced goods,Adults,Manufacturers,Nationwide,,Innovators,1
30,Nationwide,,30,All Age Groups,,30,"General Public, Students, Workforce",,30,Investing in People,"A key pillar of India’s development strategy that focuses on enhancing human capital through quality education, improved healthcare, and robust skill development initiatives.","{affects"": ""- Students", job seekers,All Age Groups,"General Public, Students, Workforce",Nationwide,,Investors,2
31,Nationwide,,31,"Children, Adults",,31,"Children, Community Workers, Women",,31,Saksham Anganwadi and Poshan 2.0,An initiative aimed at strengthening Anganwadi centers by integrating them with the Poshan 2.0 framework to improve nutritional outcomes for mothers and young children.,"{affects"": ""- Pregnant women", lactating mothers,"Children, Adults","Children, Community Workers, Women",Nationwide,,Farmers,1
32,Nationwide,,32,Adults,,32,"Educators, Students",,32,Atal Tinkering Labs,"A government initiative under the Atal Innovation Mission to set up innovation labs in schools, fostering creativity, scientific thinking, and problem-solving skills among students.","{affects"": ""- Students gain practical exposure to science and technology"," enhancing their learning and creativity.\n- Educators receive additional resources and training to foster an innovative teaching environment.""",Adults,"Educators, Students",Nationwide,,"Investors, Job Seekers, Mining Companies",1
33,Nationwide,,33,All Age Groups,,33,"Educators, Healthcare Workers, Students",,33,Broadband Connectivity to Government Secondary Schools and PHCs,An initiative to provide high-speed broadband connectivity to government secondary schools and Primary Health Centres (PHCs) to support digital education and improved healthcare service delivery.,"{affects"": ""- Students and educators benefit from access to online educational resources and digital learning tools.\n- Healthcare providers can utilize digital technologies to improve patient care and health management."""," ""explanation"": ""- This feature ensures that schools and health centres are equipped with reliable broadband as part of the Digital India initiative.\n- Enhanced connectivity supports digital classrooms and telemedicine",All Age Groups,"Educators, Healthcare Workers, Students",Nationwide,,"Entrepreneurs, Investors, Job Seekers, Small Business Owners",1
34,Nationwide,,34,All Age Groups,,34,"Authors, General Public, Publishers",,34,Bharatiya Bhasha Pustak Scheme,A government initiative to promote literature in Indian languages by supporting the publication and wider dissemination of books in regional languages.,"{affects"": ""- Authors and publishers benefit from targeted support to produce and distribute regional language books.\n- Readers across the country gain improved access to a wide range of literary works in their native languages."""," ""explanation"": ""- This scheme is designed to preserve and promote India’s rich linguistic heritage by financially and logistically supporting publishers and authors working in regional languages.\n- It aims to enhance access to quality literature that reflects India’s diverse cultural traditions.""}""",All Age Groups,"Authors, General Public, Publishers",Nationwide,,"Job Seekers, Tourism Entrepreneurs",1
35,Nationwide,,35,Adults,,35,"Industry Professionals, Job Seekers, Workers",,35,National Centres of Excellence for Skilling,"An initiative to establish centers of excellence that provide advanced and industry-relevant skill development training across various sectors, supporting the government’s Skill India mission.","{affects"": ""- Job seekers and existing workers benefit from high-quality skill development", increasing their employability and career advancement prospects.\n- Industries receive a more skilled workforce,Adults,"Industry Professionals, Job Seekers, Workers",Nationwide,,"Entrepreneurs, Innovators, Researchers",1
36,Nationwide,,36,Adults,,36,"Researchers, Students",,36,Expansion of Capacity in IITs,"An initiative to expand the capacity of Indian Institutes of Technology (IITs) by increasing seats, enhancing infrastructure, and upgrading research facilities to meet growing demand and maintain global standards in technical education.","{affects"": ""- Prospective and current students benefit from more opportunities to access world-class technical education.\n- Researchers and industry stakeholders may experience enhanced collaboration and innovation due to improved academic facilities."""," ""explanation"": ""- The government plans to boost the capacity of IITs by expanding infrastructure",Adults,"Researchers, Students",Nationwide,,"Investors, Technologists",1
37,Nationwide,,37,Adults,,37,"Educators, Students",,37,Centre of Excellence in AI for Education,"A government initiative to establish a Centre of Excellence focused on integrating Artificial Intelligence (AI) into the education sector to enhance teaching, learning, and policy-making.","{affects"": ""- Educators and students gain access to innovative teaching tools and digital resources that can personalize learning experiences.\n- Policymakers can utilize data and insights from AI research to better design education reforms."""," ""explanation"": ""- This centre will explore and deploy AI technologies in education to improve learning outcomes",Adults,"Educators, Students",Nationwide,,Researchers,1
38,Nationwide,,38,Adults,,38,"Healthcare Workers, Students",,38,Expansion of Medical Education,"An initiative to broaden the scope of medical education by establishing new institutions, increasing seat availability, and modernizing infrastructure to meet contemporary healthcare needs.","{affects"": ""- Aspiring medical students benefit from increased opportunities to pursue medical education.\n- The healthcare system gains from a better-qualified workforce"," which can lead to improved healthcare services and outcomes.""",Adults,"Healthcare Workers, Students",Nationwide,,"Farmers, Researchers",1
